PR,URL,Title,Content type,Is rendered page,HTTP status code,Organic traffic,Depth,Internal outlinks to 3xx,Internal outlinks codes (3xx),No. of internal outlinks to 3xx,External outlinks to 3xx,External outlinks codes (3xx),No. of external outlinks to 3xx
52,https://noctalia.app/en/guides/most-common-dream-symbols,Most common dream symbols: 20 meanings with examples | Noctalia,text/html; charset=utf-8,false,200,5,0,https://noctalia.app/en/,301,1,,,0
46,https://noctalia.app/en/guides/animal-dream-symbols,Animal Dream Symbols: What Animals Mean in Your Dreams | Noctalia,text/html; charset=utf-8,false,200,0,0,https://noctalia.app/en/,301,1,,,0
43,https://noctalia.app/en/blog/why-we-forget-dreams,Why Do We Forget Our Dreams? | Noctalia,text/html; charset=utf-8,false,200,0,0,https://noctalia.app/en/,301,1,,,0
43,https://noctalia.app/en/blog/rem-sleep-dreams,REM Sleep: Why Your Brain Needs Dreams | Noctalia,text/html; charset=utf-8,false,200,0,0,https://noctalia.app/en/,301,1,,,0
42,https://noctalia.app/en/symbols/night,Night / Darkness Dream Meaning | Noctalia,text/html; charset=utf-8,false,200,0,0,https://noctalia.app/en/,301,1,,,0
42,https://noctalia.app/en/symbols/wolf,Wolf Dream Meaning | Noctalia,text/html; charset=utf-8,false,200,0,0,https://noctalia.app/en/,301,1,,,0
42,https://noctalia.app/en/symbols/horse,Horse Dream Meaning | Noctalia,text/html; charset=utf-8,false,200,0,0,https://noctalia.app/en/,301,1,,,0
42,https://noctalia.app/en/symbols/bridge,Bridge Dream Meaning | Noctalia,text/html; charset=utf-8,false,200,0,0,https://noctalia.app/en/,301,1,,,0
42,https://noctalia.app/en/symbols/animals,Animals Dream Symbols: Meanings & Interpretations | Noctalia,text/html; charset=utf-8,false,200,0,0,https://noctalia.app/en/,301,1,,,0
42,https://noctalia.app/en/symbols/cliff,Cliff Dream Meaning | Noctalia,text/html; charset=utf-8,false,200,0,0,https://noctalia.app/en/,301,1,,,0
42,https://noctalia.app/en/symbols/forest,Forest Dream Meaning | Noctalia,text/html; charset=utf-8,false,200,0,0,https://noctalia.app/en/,301,1,,,0
42,https://noctalia.app/en/blog/sleep-paralysis-guide,Sleep Paralysis: Causes and How to Stop It | Noctalia,text/html; charset=utf-8,false,200,0,0,https://noctalia.app/en/,301,1,,,0
42,https://noctalia.app/en/symbols/mirror,Mirror Dream Meaning | Noctalia,text/html; charset=utf-8,false,200,0,0,https://noctalia.app/en/,301,1,,,0
42,https://noctalia.app/en/blog/falling-dreams-meaning,Falling Dreams Meaning: Why You Dream of Falling - Noctalia,text/html; charset=utf-8,false,200,0,0,https://noctalia.app/en/,301,1,,,0
42,https://noctalia.app/en/symbols/death,Death Dream Meaning | Noctalia,text/html; charset=utf-8,false,200,0,0,https://noctalia.app/en/,301,1,,,0
42,https://noctalia.app/en/symbols/dog,Dog Dream Meaning | Noctalia,text/html; charset=utf-8,false,200,0,0,https://noctalia.app/en/,301,1,,,0
42,https://noctalia.app/en/symbols/nature,Nature Dream Symbols: Meanings & Interpretations | Noctalia,text/html; charset=utf-8,false,200,0,0,https://noctalia.app/en/,301,1,,,0
42,https://noctalia.app/en/blog/dreams-mental-health,Dreams and Mental Health: Decode Your Mind | Noctalia,text/html; charset=utf-8,false,200,0,0,https://noctalia.app/en/,301,1,,,0
42,https://noctalia.app/en/blog/dreams-about-ex,Ex Dreams: 6 Surprising Reasons You Still Dream | Noctalia,text/html; charset=utf-8,false,200,0,0,https://noctalia.app/en/,301,1,,,0
42,https://noctalia.app/en/symbols/fire,Fire Dream Meaning | Noctalia,text/html; charset=utf-8,false,200,0,0,https://noctalia.app/en/,301,1,,,0
42,https://noctalia.app/en/blog/being-chased-dreams,Being Chased Dreams: Meaning and Interpretation - Noctalia,text/html; charset=utf-8,false,200,0,0,https://noctalia.app/en/,301,1,,,0
42,https://noctalia.app/en/symbols/flood,Flood Dream Meaning | Noctalia,text/html; charset=utf-8,false,200,0,0,https://noctalia.app/en/,301,1,,,0
42,https://noctalia.app/en/symbols/ocean,Ocean / Sea Dream Meaning | Noctalia,text/html; charset=utf-8,false,200,0,0,https://noctalia.app/en/,301,1,,,0
42,https://noctalia.app/en/symbols/plane,Plane Dream Meaning | Noctalia,text/html; charset=utf-8,false,200,0,0,https://noctalia.app/en/,301,1,,,0
42,https://noctalia.app/en/symbols/rainbow,Rainbow Dream Meaning | Noctalia,text/html; charset=utf-8,false,200,0,0,https://noctalia.app/en/,301,1,,,0
42,https://noctalia.app/en/symbols/baby,Baby Dream Meaning | Noctalia,text/html; charset=utf-8,false,200,0,0,https://noctalia.app/en/,301,1,,,0
42,https://noctalia.app/en/symbols/train,Train Dream Meaning | Noctalia,text/html; charset=utf-8,false,200,0,0,https://noctalia.app/en/,301,1,,,0
42,https://noctalia.app/en/symbols/bird,Bird Dream Meaning | Noctalia,text/html; charset=utf-8,false,200,0,0,https://noctalia.app/en/,301,1,,,0
42,https://noctalia.app/en/blog/water-dreams-meaning,"Water Dreams: Meaning of Drowning, Ocean, and Flood Dreams | Noctalia",text/html; charset=utf-8,false,200,0,0,https://noctalia.app/en/,301,1,,,0
42,https://noctalia.app/en/blog/death-dreams-meaning,Death Dreams: 5 Hidden Meanings Explained - Noctalia,text/html; charset=utf-8,false,200,0,0,https://noctalia.app/en/,301,1,,,0
42,https://noctalia.app/en/symbols/running,Running Dream Meaning | Noctalia,text/html; charset=utf-8,false,200,0,0,https://noctalia.app/en/,301,1,,,0
42,https://noctalia.app/en/symbols/rain,Rain Dream Meaning | Noctalia,text/html; charset=utf-8,false,200,0,0,https://noctalia.app/en/,301,1,,,0
42,https://noctalia.app/en/symbols/cat,Cat Dream Meaning | Noctalia,text/html; charset=utf-8,false,200,0,0,https://noctalia.app/en/,301,1,,,0
42,https://noctalia.app/en/symbols/ex-partner,Ex-Partner Dream Meaning | Noctalia,text/html; charset=utf-8,false,200,0,0,https://noctalia.app/en/,301,1,,,0
42,https://noctalia.app/en/symbols/mouth,Mouth Dream Meaning | Noctalia,text/html; charset=utf-8,false,200,0,0,https://noctalia.app/en/,301,1,,,0
42,https://noctalia.app/en/guides/people-in-dreams,People in Dreams: What They Represent & Their Meanings | Noctalia,text/html; charset=utf-8,false,200,0,0,https://noctalia.app/en/,301,1,,,0
42,https://noctalia.app/en/symbols/child,Child Dream Meaning | Noctalia,text/html; charset=utf-8,false,200,0,0,https://noctalia.app/en/,301,1,,,0
42,https://noctalia.app/en/symbols/deceased-person,Deceased Person Dream Meaning | Noctalia,text/html; charset=utf-8,false,200,0,0,https://noctalia.app/en/,301,1,,,0
42,https://noctalia.app/en/symbols/lost,Being Lost Dream Meaning | Noctalia,text/html; charset=utf-8,false,200,0,0,https://noctalia.app/en/,301,1,,,0
42,https://noctalia.app/en/symbols/school,School Dream Meaning | Noctalia,text/html; charset=utf-8,false,200,0,0,https://noctalia.app/en/,301,1,,,0
42,https://noctalia.app/en/symbols/stairs,Stairs Dream Meaning | Noctalia,text/html; charset=utf-8,false,200,0,0,https://noctalia.app/en/,301,1,,,0
42,https://noctalia.app/en/blog/teeth-falling-out-dreams,Teeth Falling Out Dreams: 7 Meanings Revealed | Noctalia,text/html; charset=utf-8,false,200,0,0,https://noctalia.app/en/,301,1,,,0
42,https://noctalia.app/en/symbols/door,Door Dream Meaning | Noctalia,text/html; charset=utf-8,false,200,0,0,https://noctalia.app/en/,301,1,,,0
42,https://noctalia.app/en/blog/stop-nightmares-guide,"Nightmares: Causes, Meaning, and How to Stop Them - Noctalia",text/html; charset=utf-8,false,200,0,0,https://noctalia.app/en/,301,1,,,0
42,https://noctalia.app/en/symbols/sun,Sun Dream Meaning | Noctalia,text/html; charset=utf-8,false,200,0,0,https://noctalia.app/en/,301,1,,,0
42,https://noctalia.app/en/symbols/moon,Moon Dream Meaning | Noctalia,text/html; charset=utf-8,false,200,0,0,https://noctalia.app/en/,301,1,,,0
42,https://noctalia.app/en/symbols/body,Body Dream Symbols: Meanings & Interpretations | Noctalia,text/html; charset=utf-8,false,200,0,0,https://noctalia.app/en/,301,1,,,0
42,https://noctalia.app/en/symbols/pregnancy,Pregnancy Dream Meaning | Noctalia,text/html; charset=utf-8,false,200,0,0,https://noctalia.app/en/,301,1,,,0
42,https://noctalia.app/en/symbols/people,People Dream Symbols: Meanings & Interpretations | Noctalia,text/html; charset=utf-8,false,200,0,0,https://noctalia.app/en/,301,1,,,0
42,https://noctalia.app/en/symbols/celestial,Celestial Dream Symbols: Meanings & Interpretations | Noctalia,text/html; charset=utf-8,false,200,0,0,https://noctalia.app/en/,301,1,,,0
42,https://noctalia.app/en/blog/snake-dreams-meaning,Snake Dreams: Hidden Warnings Decoded | Noctalia,text/html; charset=utf-8,false,200,0,0,https://noctalia.app/en/,301,1,,,0
42,https://noctalia.app/en/symbols/mountain,Mountain Dream Meaning | Noctalia,text/html; charset=utf-8,false,200,0,0,https://noctalia.app/en/,301,1,,,0
42,https://noctalia.app/en/symbols/being-chased,Chase / Being Chased Dream Meaning | Noctalia,text/html; charset=utf-8,false,200,0,0,https://noctalia.app/en/,301,1,,,0
42,https://noctalia.app/en/symbols/storm,Storm Dream Meaning | Noctalia,text/html; charset=utf-8,false,200,0,0,https://noctalia.app/en/,301,1,,,0
42,https://noctalia.app/en/symbols/house,House Dream Meaning | Noctalia,text/html; charset=utf-8,false,200,0,0,https://noctalia.app/en/,301,1,,,0
42,https://noctalia.app/en/symbols/actions,Actions Dream Symbols: Meanings & Interpretations | Noctalia,text/html; charset=utf-8,false,200,0,0,https://noctalia.app/en/,301,1,,,0
42,https://noctalia.app/en/symbols/objects,Objects Dream Symbols: Meanings & Interpretations | Noctalia,text/html; charset=utf-8,false,200,0,0,https://noctalia.app/en/,301,1,,,0
42,https://noctalia.app/en/symbols/exam,Exam / Test Dream Meaning | Noctalia,text/html; charset=utf-8,false,200,0,0,https://noctalia.app/en/,301,1,,,0
42,https://noctalia.app/en/blog/dream-meanings,Dream Meanings: interpretation & symbols | Noctalia,text/html; charset=utf-8,false,200,0,0,https://noctalia.app/en/,301,1,,,0
42,https://noctalia.app/en/blog/flying-dreams-meaning,Flying Dreams: Unlock Their Powerful Meaning - Noctalia,text/html; charset=utf-8,false,200,0,0,https://noctalia.app/en/,301,1,,,0
42,https://noctalia.app/en/symbols/tree,Tree Dream Meaning | Noctalia,text/html; charset=utf-8,false,200,0,0,https://noctalia.app/en/,301,1,,,0
42,https://noctalia.app/en/blog/why-we-dream-science,Why Do We Dream? The Science Behind Your Nightly Adventures | Noctalia,text/html; charset=utf-8,false,200,0,0,https://noctalia.app/en/,301,1,,,0
42,https://noctalia.app/en/symbols/car,Car Dream Meaning | Noctalia,text/html; charset=utf-8,false,200,0,0,https://noctalia.app/en/,301,1,,,0
42,https://noctalia.app/en/blog/pregnancy-dreams-meaning,Pregnancy Dreams: Hidden Meanings Decoded | Noctalia,text/html; charset=utf-8,false,200,0,0,https://noctalia.app/en/,301,1,,,0
42,https://noctalia.app/en/blog/dream-incubation-guide,Dream Incubation: Program Your Dreams Tonight | Noctalia,text/html; charset=utf-8,false,200,0,0,https://noctalia.app/en/,301,1,,,0
42,https://noctalia.app/en/blog/dream-journal,"Dream Journal: recall, methods & routines | Noctalia",text/html; charset=utf-8,false,200,0,0,https://noctalia.app/en/,301,1,,,0
42,https://noctalia.app/en/symbols/places,Places Dream Symbols: Meanings & Interpretations | Noctalia,text/html; charset=utf-8,false,200,0,0,https://noctalia.app/en/,301,1,,,0
42,https://noctalia.app/en/symbols/hospital,Hospital Dream Meaning | Noctalia,text/html; charset=utf-8,false,200,0,0,https://noctalia.app/en/,301,1,,,0
42,https://noctalia.app/en/blog/precognitive-dreams-science,"Precognitive dreams, confirmation bias and coincidence | Noctalia",text/html; charset=utf-8,false,200,0,0,https://noctalia.app/en/,301,1,,,0
42,https://noctalia.app/en/symbols/crying,Crying Dream Meaning | Noctalia,text/html; charset=utf-8,false,200,0,0,https://noctalia.app/en/,301,1,,,0
42,https://noctalia.app/en/symbols/spider,Spider Dream Meaning | Noctalia,text/html; charset=utf-8,false,200,0,0,https://noctalia.app/en/,301,1,,,0
24,https://noctalia.app/en/press,Noctalia Press Kit | AI Dream Journal,text/html; charset=utf-8,false,200,0,0,https://noctalia.app/en/,301,1,,,0
24,https://noctalia.app/en/blog/exam-dreams-meaning,"Exam dreams meaning: fail, pass or unprepared | Noctalia",text/html; charset=utf-8,false,200,0,0,https://noctalia.app/en/,301,1,,,0
24,https://noctalia.app/en/dream-journal-apps,Best Dream Journal Apps and Noctalia Alternatives | Noctalia,text/html; charset=utf-8,false,200,0,0,https://noctalia.app/en/,301,1,,,0
21,https://noctalia.app/en/blog/lucid-dreaming,Lucid Dreaming: guides & techniques | Noctalia,text/html; charset=utf-8,false,200,0,0,https://noctalia.app/en/,301,1,,,0
21,https://noctalia.app/en/symbols/blood,Blood Dream Meaning | Noctalia,text/html; charset=utf-8,false,200,0,0,https://noctalia.app/en/,301,1,,,0
21,https://noctalia.app/en/symbols/key,Key Dream Meaning | Noctalia,text/html; charset=utf-8,false,200,0,0,https://noctalia.app/en/,301,1,,,0
21,https://noctalia.app/en/symbols/path,Path / Road Dream Meaning | Noctalia,text/html; charset=utf-8,false,200,0,0,https://noctalia.app/en/,301,1,,,0
21,https://noctalia.app/en/blog/dreams-and-creativity,Dreams and Creativity: Problem Solving | Noctalia,text/html; charset=utf-8,false,200,0,0,https://noctalia.app/en/,301,1,,,0
21,https://noctalia.app/en/blog/ai-sleep-analysis-dreams,The AI That Reads Your Sleep: Stanford's SleepFM Revolution | Noctalia,text/html; charset=utf-8,false,200,0,0,https://noctalia.app/en/,301,1,,,0
21,https://noctalia.app/en/blog/sleep-day-environment-dreams,Sleep Day 2026: How Your Environment Transforms Your Dreams | Noctalia,text/html; charset=utf-8,false,200,0,0,https://noctalia.app/en/,301,1,,,0
21,https://noctalia.app/en/blog/dream-control-problem-solving,Controlling Your Dreams to Solve Problems: The Study That Changes Everything | Noctalia,text/html; charset=utf-8,false,200,0,0,https://noctalia.app/en/,301,1,,,0
21,https://noctalia.app/en/blog/daylight-saving-time-sleep,Daylight Saving Time and Sleep: How the Clock Change Disrupts Your Dreams | Noctalia,text/html; charset=utf-8,false,200,0,0,https://noctalia.app/en/,301,1,,,0
21,https://noctalia.app/en/blog/sleep-debt-health-dreams,Sleep Debt: How Chronic Sleep Deprivation Affects Your Health and Dreams | Noctalia,text/html; charset=utf-8,false,200,0,0,https://noctalia.app/en/,301,1,,,0
21,https://noctalia.app/en/symbols/nudity,Nudity Dream Meaning | Noctalia,text/html; charset=utf-8,false,200,0,0,https://noctalia.app/en/,301,1,,,0
21,https://noctalia.app/en/blog/children-dreams-guide,Children's Dreams: What Kids Dream About and How to Help | Noctalia,text/html; charset=utf-8,false,200,0,0,https://noctalia.app/en/,301,1,,,0
21,https://noctalia.app/en/blog/sleep-health-priority,Sleep Is Your #1 Health Lever: The OHSU Study That Changes Everything | Noctalia,text/html; charset=utf-8,false,200,0,0,https://noctalia.app/en/,301,1,,,0
21,https://noctalia.app/en/blog/spring-sleep-disruption-dreams,Spring Sleep Disruption: How Longer Days Alter Your Sleep and Dreams | Noctalia,text/html; charset=utf-8,false,200,0,0,https://noctalia.app/en/,301,1,,,0
21,https://noctalia.app/en/blog/stress-dreams-work,Stress Dreams About Work: Why Your Job Follows You to Sleep | Noctalia,text/html; charset=utf-8,false,200,0,0,https://noctalia.app/en/,301,1,,,0
21,https://noctalia.app/en/blog/anxiety-dreams-meaning,Anxiety Dreams: Why You Have Them and How to Stop Them | Noctalia,text/html; charset=utf-8,false,200,0,0,https://noctalia.app/en/,301,1,,,0
21,https://noctalia.app/en/blog/dream-interpretation-history,History of Dream Interpretation: Ancient to Modern,text/html; charset=utf-8,false,200,0,0,https://noctalia.app/en/,301,1,,,0
21,https://noctalia.app/en/symbols/phone,Phone Dream Meaning | Noctalia,text/html; charset=utf-8,false,200,0,0,https://noctalia.app/en/,301,1,,,0
20,https://noctalia.app/en/symbols/arguing,Arguing Dream Meaning | Noctalia,text/html; charset=utf-8,false,200,0,0,https://noctalia.app/en/,301,1,,,0
20,https://noctalia.app/en/symbols/accident,Accident Dream Meaning | Noctalia,text/html; charset=utf-8,false,200,0,0,https://noctalia.app/en/,301,1,,,0
20,https://noctalia.app/en/symbols/money,Money Dream Meaning | Noctalia,text/html; charset=utf-8,false,200,0,0,https://noctalia.app/en/,301,1,,,0
20,https://noctalia.app/en/symbols/elevator,Elevator Dream Meaning | Noctalia,text/html; charset=utf-8,false,200,0,0,https://noctalia.app/en/,301,1,,,0
20,https://noctalia.app/en/symbols/wedding,Wedding Dream Meaning | Noctalia,text/html; charset=utf-8,false,200,0,0,https://noctalia.app/en/,301,1,,,0
20,https://noctalia.app/en/symbols/swimming,Swimming Dream Meaning | Noctalia,text/html; charset=utf-8,false,200,0,0,https://noctalia.app/en/,301,1,,,0
20,https://noctalia.app/en/symbols/abandonment,Abandonment Dream Meaning | Noctalia,text/html; charset=utf-8,false,200,0,0,https://noctalia.app/en/,301,1,,,0
20,https://noctalia.app/en/blog/dreams-not-random-ai-study,Your Dreams Are Not Random: What a 2026 AI Study Reveals | Noctalia,text/html; charset=utf-8,false,200,0,0,https://noctalia.app/en/,301,1,,,0
20,https://noctalia.app/en/blog/vivid-dreams-restful-sleep,Vivid Dreams and Restful Sleep: What the New PLOS Biology Study Shows | Noctalia,text/html; charset=utf-8,false,200,0,0,https://noctalia.app/en/,301,1,,,0
20,https://noctalia.app/en/symbols/apocalypse,Apocalypse Dream Meaning | Noctalia,text/html; charset=utf-8,false,200,0,0,https://noctalia.app/en/,301,1,,,0
20,https://noctalia.app/en/blog/wearable-sleep-trackers-dreams,Wearable Sleep Trackers and Dreams: What They Measure vs. What They Miss | Noctalia,text/html; charset=utf-8,false,200,0,0,https://noctalia.app/en/,301,1,,,0
20,https://noctalia.app/en/symbols/clothes,Clothes Dream Meaning | Noctalia,text/html; charset=utf-8,false,200,0,0,https://noctalia.app/en/,301,1,,,0
20,https://noctalia.app/en/guides/death-transformation-dreams,Death & Transformation in Dreams | Noctalia,text/html; charset=utf-8,false,200,0,0,https://noctalia.app/en/,301,1,,,0
20,https://noctalia.app/en/guides/dream-locations,Places in Dreams: What Dream Locations Reveal About You | Noctalia,text/html; charset=utf-8,false,200,0,0,https://noctalia.app/en/,301,1,,,0
20,https://noctalia.app/en/symbols/lion,Lion Dream Meaning | Noctalia,text/html; charset=utf-8,false,200,0,0,https://noctalia.app/en/,301,1,,,0
20,https://noctalia.app/en/symbols/angel,Angel Dream Meaning | Noctalia,text/html; charset=utf-8,false,200,0,0,https://noctalia.app/en/,301,1,,,0
20,https://noctalia.app/en/guides/positive-dream-symbols,Positive Dream Symbols: Uplifting Dreams & Their Meanings | Noctalia,text/html; charset=utf-8,false,200,0,0,https://noctalia.app/en/,301,1,,,0
