query,country,device,status,before_clicks,before_impressions,before_ctr,before_position,after_clicks,after_impressions,after_ctr,after_position
sognare casa allagata di acqua pulita,ita,MOBILE,after-only,,,,,0,11,0,3.5454545454545454
sognare casa allagata significato,ita,DESKTOP,after-only,,,,,0,3,0,8.333333333333332
sognare casa allagata significato,ita,MOBILE,common,0,12,0,8.75,1,86,0.011627906976744186,7.72093023255814
sognare casa allagata significato,ita,TABLET,after-only,,,,,0,1,0,8
sognare casa allagata smorfia,ita,MOBILE,after-only,,,,,0,3,0,11.333333333333334
sognare casa che cade a pezzi,ita,MOBILE,after-only,,,,,0,1,0,3
sognare casa che cade a pezzi,ita,TABLET,after-only,,,,,1,1,1,3
sognare casa che si allaga,ita,DESKTOP,common,0,1,0,9,0,2,0,9
sognare casa che si allaga,ita,MOBILE,common,0,4,0,9.5,0,45,0,7.488888888888889
sognare casa con tante stanze,ita,MOBILE,after-only,,,,,0,1,0,2
sognare casa dei nonni defunti,ita,MOBILE,after-only,,,,,0,1,0,3
sognare casa diroccata,ita,DESKTOP,before-only,0,3,0,1,,,,
sognare casa diroccata,ita,MOBILE,common,0,4,0,1,0,5,0,4.6
sognare casa distrutta,ita,TABLET,before-only,0,1,0,3,,,,
sognare casa dove abitavo prima,ita,MOBILE,before-only,0,2,0,2,,,,
sognare casa grande,ita,DESKTOP,after-only,,,,,0,3,0,16
sognare casa grande con tante stanze,ita,MOBILE,after-only,,,,,0,2,0,2.5
sognare casa grande con tante stanze,smr,MOBILE,before-only,0,1,0,2,,,,
sognare casa in costruzione,ita,MOBILE,before-only,0,1,0,3,,,,
sognare casa in disordine,ita,DESKTOP,before-only,0,1,0,29,,,,
sognare casa in disordine e sporca,ita,MOBILE,after-only,,,,,0,1,0,3
sognare casa in disordine smorfia,ita,MOBILE,before-only,0,1,0,3,,,,
sognare casa infestata,aus,DESKTOP,before-only,0,1,0,15,,,,
sognare casa infestata,ita,MOBILE,after-only,,,,,0,1,0,2
sognare casa ristrutturata,ita,DESKTOP,common,0,1,0,20,0,1,0,24
sognare casa sporca,ita,DESKTOP,common,0,2,0,25.5,0,3,0,19
sognare casa vecchia,ita,DESKTOP,common,0,3,0,8.666666666666668,0,4,0,6.75
sognare casa vecchia,ita,MOBILE,common,0,40,0,8.25,1,26,0.038461538461538464,7.038461538461538
sognare casa vecchia dove abitavo prima,ita,DESKTOP,before-only,0,1,0,11,,,,
sognare casa vecchia dove abitavo prima,ita,MOBILE,common,0,32,0,10.84375,0,1,0,11
sognare casa vecchia e sporca,ita,MOBILE,after-only,,,,,0,1,0,11
sognare casa vuota,ita,MOBILE,before-only,0,1,0,2,,,,
sognare case,ita,DESKTOP,common,0,1,0,6,0,2,0,3.5
sognare case,ita,MOBILE,common,0,27,0,6.555555555555555,0,36,0,6.444444444444445
sognare case diroccate,ita,MOBILE,after-only,,,,,0,7,0,5.428571428571429
sognare case grandi,ita,DESKTOP,common,0,1,0,3,0,1,0,14
sognare case grandi,ita,MOBILE,common,0,2,0,2,0,1,0,2
sognare case significato,ita,MOBILE,common,0,5,0,7.6,0,1,0,9
sognare case vecchie,ita,DESKTOP,after-only,,,,,0,2,0,6
sognare case vecchie,ita,MOBILE,common,1,13,0.07692307692307693,6.230769230769231,0,23,0,5.782608695652174
sognare che la casa si allaga,ita,MOBILE,common,0,6,0,8.5,0,13,0,6.846153846153846
sognare che si allaga casa,ita,DESKTOP,common,0,1,0,11,0,1,0,1
sognare che si allaga casa,ita,MOBILE,common,0,3,0,6.333333333333333,0,12,0,8.333333333333332
sognare che si allaga la casa,ita,DESKTOP,common,0,1,0,7,0,2,0,7.5
sognare che si allaga la casa,ita,MOBILE,common,0,9,0,7,0,67,0,6.8059701492537314
sognare che si allaga la casa,ita,TABLET,common,0,1,0,7,0,1,0,1
sognare che si allaga la casa significato,che,MOBILE,after-only,,,,,0,2,0,8
sognare che si allaga la casa significato,ita,MOBILE,common,0,7,0,8.714285714285715,0,36,0,6.888888888888889
sognare di acquistare una casa,ita,MOBILE,after-only,,,,,0,1,0,2
sognare di allagare casa,ita,DESKTOP,before-only,0,1,0,9,,,,
sognare di allagare casa,ita,MOBILE,common,0,7,0,9,0,20,0,8.05
sognare di avere la casa allagata,ita,DESKTOP,after-only,,,,,0,1,0,8
sognare di avere la casa allagata,ita,MOBILE,common,0,7,0,7.571428571428571,0,12,0,7
sognare di avere la casa sporca,ita,MOBILE,before-only,0,1,0,2,,,,
sognare di cambiare casa,ita,MOBILE,before-only,0,2,0,3,,,,
sognare di cambiare casa cosa significa,ita,DESKTOP,common,0,1,0,2,0,1,0,2
sognare di cambiare casa cosa significa,ita,MOBILE,common,0,4,0,2,0,2,0,2.5
sognare di cambiare casa psicologia,ita,MOBILE,after-only,,,,,0,1,0,2
sognare di comprare casa,ita,MOBILE,after-only,,,,,0,2,0,2.5
sognare di comprare una casa nuova,gbr,MOBILE,after-only,,,,,0,1,0,3
sognare di comprare una casa vecchia,ita,MOBILE,common,0,11,0,8,0,11,0,9.090909090909092
sognare di entrare in una casa altrui smorfia,ita,MOBILE,common,0,1,0,3,0,1,0,1
sognare di entrare in una casa sconosciuta,ita,DESKTOP,after-only,,,,,0,1,0,6
sognare di entrare in una casa sconosciuta,ita,MOBILE,common,0,13,0,7.076923076923077,0,15,0,5.933333333333334
sognare di esplorare una casa,ita,DESKTOP,after-only,,,,,0,1,0,8
sognare di esplorare una casa,ita,MOBILE,common,0,2,0,7,0,9,0,7.111111111111111
sognare di esplorare una casa,ita,TABLET,before-only,0,1,0,4,,,,
sognare di essere in una casa sconosciuta,ita,DESKTOP,before-only,0,1,0,9,,,,
sognare di essere in una casa sconosciuta,ita,MOBILE,common,0,13,0,6.384615384615385,0,1,0,7
sognare di pulire casa altrui,ita,MOBILE,after-only,,,,,0,2,0,3
sognare di riordinare casa,ita,MOBILE,after-only,,,,,0,1,0,3
sognare di scoprire una nuova stanza in casa,ita,MOBILE,before-only,0,3,0,11,,,,
sognare di vendere casa,ita,MOBILE,before-only,0,1,0,2,,,,
sognare di visitare una casa,ita,DESKTOP,before-only,0,1,0,21,,,,
sognare di vivere in un'altra casa,ita,MOBILE,after-only,,,,,0,1,0,3
sognare di vivere in una casa vecchia,ita,MOBILE,before-only,0,5,0,7.8,,,,
sognare festa con sconosciuti,ita,MOBILE,after-only,,,,,0,1,0,3
sognare la casa,ita,DESKTOP,common,0,2,0,10,0,4,0,6
sognare la casa,ita,MOBILE,common,0,25,0,6.72,0,35,0,6
sognare la casa allagata,ita,DESKTOP,common,0,1,0,11,0,5,0,7.6
sognare la casa allagata,ita,MOBILE,common,0,22,0,9.318181818181818,0,64,0,7.421875
sognare la casa allagata,ita,TABLET,after-only,,,,,0,1,0,1
sognare la casa allagata significato,ita,MOBILE,common,0,7,0,7.857142857142857,0,38,0,6.605263157894737
sognare la casa dei genitori morti,ita,MOBILE,before-only,0,1,0,3,,,,
sognare la casa dell'infanzia,ita,DESKTOP,after-only,,,,,0,4,0,4.75
sognare la casa dell'infanzia,ita,MOBILE,common,0,21,0,7.190476190476191,0,20,0,6.6
sognare la casa dove abitavo da bambino,ita,DESKTOP,before-only,0,1,0,10,,,,
sognare la casa dove abitavo prima,ita,DESKTOP,common,0,1,0,1,0,2,0,18.5
sognare la casa dove abitavo prima,ita,MOBILE,common,1,7,0.14285714285714285,5.571428571428571,0,1,0,2
sognare la casa dove abitavo prima,ita,TABLET,before-only,0,1,0,1,,,,
sognare la casa in disordine,ita,DESKTOP,before-only,0,1,0,26,,,,
sognare la casa sporca,ita,DESKTOP,common,0,1,0,21,0,2,0,20
sognare la vecchia casa,ita,DESKTOP,common,0,4,0,8.75,0,9,0,7.444444444444445
sognare la vecchia casa,ita,MOBILE,common,0,29,0,6.620689655172414,0,38,0,6.2631578947368425
sognare la vecchia casa,ita,TABLET,before-only,0,3,0,8.666666666666668,,,,
sognare la vecchia casa di famiglia,ita,DESKTOP,before-only,0,1,0,10,,,,
sognare la vecchia casa di famiglia,ita,MOBILE,common,0,19,0,8.736842105263158,0,25,0,6.96
sognare la vecchia casa di famiglia,ita,TABLET,before-only,0,1,0,9,,,,
sognare la vecchia casa di famiglia numeri lotto,ita,DESKTOP,common,0,1,0,12,0,1,0,11
sognare la vecchia casa di famiglia numeri lotto,ita,MOBILE,after-only,,,,,0,1,0,11
sognare la vecchia casa di famiglia numeri lotto,ita,TABLET,before-only,0,3,0,12,,,,
sognare lenzuola bianche stese,ita,MOBILE,before-only,0,1,0,2,,,,
sognare mobili antichi,ita,MOBILE,after-only,,,,,0,1,0,3
sognare pareti di casa rovinate,ita,DESKTOP,before-only,0,1,0,10,,,,
sognare pareti di casa rovinate,ita,MOBILE,before-only,0,11,0,8.90909090909091,,,,
sognare pareti di casa rovinate,ita,TABLET,before-only,0,1,0,10,,,,
sognare pavimento rotto,ita,MOBILE,after-only,,,,,0,1,0,1
sognare persone sconosciute smorfia,ita,MOBILE,before-only,0,1,0,3,,,,
sognare ragnatele in casa,ita,MOBILE,after-only,,,,,0,1,0,2
sognare residence,ita,MOBILE,after-only,,,,,0,1,0,11
sognare residenziale,bra,DESKTOP,common,0,1,0,65,0,1,0,55
sognare sempre la stessa casa sconosciuta,ita,DESKTOP,common,0,1,0,1,0,1,0,10
sognare sempre la stessa casa sconosciuta,ita,MOBILE,common,1,25,0.04,6.76,0,23,0,6.739130434782608
sognare sempre la stessa casa sconosciuta,ita,TABLET,after-only,,,,,0,2,0,3.5
sognare stanza allagata,ita,DESKTOP,after-only,,,,,0,1,0,1
sognare stanza allagata,ita,MOBILE,common,0,7,0,8,0,18,0,4.444444444444445
sognare stanza allagata,mar,DESKTOP,before-only,0,1,0,1,,,,
sognare tanti animali insieme,ita,MOBILE,after-only,,,,,0,1,0,3
sognare un allagamento in casa,ita,MOBILE,after-only,,,,,0,1,0,1
sognare una bella casa,ita,DESKTOP,common,0,1,0,18,0,1,0,11
sognare una bella casa,ita,MOBILE,after-only,,,,,0,3,0,8.333333333333332
sognare una casa,ita,DESKTOP,common,0,8,0,7.25,0,12,0,6.333333333333333
sognare una casa,ita,MOBILE,common,2,65,0.03076923076923077,6,0,69,0,6.333333333333333
sognare una casa,ita,TABLET,before-only,0,1,0,6,,,,
sognare una casa abbandonata,ita,DESKTOP,common,0,6,0,9.833333333333334,0,6,0,12
sognare una casa abbandonata,ita,MOBILE,common,1,2,0.5,1,0,11,0,8.454545454545453
sognare una casa allagata,ita,DESKTOP,common,0,1,0,10,0,1,0,9
sognare una casa allagata,ita,MOBILE,common,0,2,0,7.5,1,16,0.0625,7.25
sognare una casa con tante stanze,ita,DESKTOP,before-only,0,2,0,21.5,,,,
sognare una casa con tante stanze,ita,MOBILE,common,0,9,0,11.88888888888889,0,5,0,12.6
sognare una casa da ristrutturare,ita,MOBILE,after-only,,,,,0,1,0,2
sognare una casa grande,ita,DESKTOP,common,0,1,0,26,0,4,0,15
sognare una casa grande,ita,MOBILE,common,0,1,0,3,0,1,0,2
sognare una casa grande con tanta gente,ita,MOBILE,after-only,,,,,0,1,0,10
sognare una casa grande con tante stanze,ita,MOBILE,before-only,0,6,0,11.166666666666666,,,,
sognare una casa grande da ristrutturare,ita,MOBILE,before-only,0,1,0,8,,,,
sognare una casa grande e bella,ita,DESKTOP,common,0,3,0,22,0,2,0,16.5
sognare una casa grande e bella,ita,MOBILE,common,0,2,0,2.5,0,1,0,2
sognare una casa grande e vecchia,ita,DESKTOP,common,0,3,0,9,0,3,0,9.333333333333334
sognare una casa grande e vecchia,ita,MOBILE,common,0,46,0,9.021739130434783,0,51,0,9.176470588235293
sognare una casa in disordine,ita,MOBILE,after-only,,,,,0,1,0,3
sognare una casa nuova,ita,MOBILE,after-only,,,,,0,2,0,9
sognare una casa nuova grande,ita,DESKTOP,before-only,0,1,0,27,,,,
sognare una casa nuova grande,ita,MOBILE,before-only,0,2,0,2.5,,,,
sognare una casa sconosciuta,ita,DESKTOP,common,0,8,0,6.375,0,5,0,4.4
sognare una casa sconosciuta,ita,MOBILE,common,0,212,0,5.735849056603773,2,184,0.010869565217391304,3.0815217391304346
sognare una casa sconosciuta,ita,TABLET,common,0,4,0,4.75,0,3,0,2.666666666666667
sognare una casa sconosciuta grande,ita,MOBILE,common,1,19,0.05263157894736842,5.315789473684211,0,24,0,2.291666666666667
sognare una casa sconosciuta grande,ita,TABLET,after-only,,,,,1,2,0.5,2
sognare una casa sconosciuta smorfia,ita,DESKTOP,after-only,,,,,0,1,0,8
sognare una casa sconosciuta smorfia,ita,MOBILE,common,0,11,0,7.7272727272727275,0,15,0,9.266666666666667
sognare una casa sconosciuta smorfia,ita,TABLET,common,0,1,0,10,0,1,0,7
sognare una casa sporca,ita,DESKTOP,common,0,2,0,22.5,0,2,0,15
sognare una casa vecchia,ita,DESKTOP,common,0,8,0,8.125,0,1,0,8
sognare una casa vecchia,ita,MOBILE,common,0,23,0,10.434782608695652,0,34,0,8.794117647058822
sognare una casa vecchia da ristrutturare,ita,DESKTOP,common,0,2,0,10.5,0,1,0,19
sognare una casa vecchia da ristrutturare,ita,MOBILE,common,1,50,0.02,8.2,0,2,0,9.5
sognare una grande casa,ita,DESKTOP,after-only,,,,,0,2,0,12.5
sognare una nuova casa,ita,MOBILE,after-only,,,,,0,1,0,17
sognare una stanza allagata,ita,MOBILE,common,0,15,0,7,0,19,0,5.7894736842105265
sognare una villa,bol,DESKTOP,after-only,,,,,0,1,0,29
sognare una villa,ita,MOBILE,after-only,,,,,0,1,0,1
sognare vecchia casa,ita,DESKTOP,common,0,5,0,8.4,0,2,0,8
sognare vecchia casa,ita,MOBILE,common,0,9,0,5.888888888888889,0,6,0,6
sogno acqua in casa,ita,MOBILE,after-only,,,,,0,2,0,3
sogno casa allagata,ita,DESKTOP,after-only,,,,,0,3,0,6.333333333333333
sogno casa allagata,ita,MOBILE,common,0,5,0,7.4,0,6,0,6.833333333333333
sogno casa allagata significato,ita,MOBILE,common,0,2,0,7,0,10,0,7.4
