query,country,device,clicks,impressions,ctr,position
sognare casa abbandonata,ita,MOBILE,0,10,0,9.4
sognare casa allagata,ita,DESKTOP,0,10,0,7.8
sognare casa allagata,ita,TABLET,0,2,0,4
sognare casa allagata acqua pulita,ita,DESKTOP,0,3,0,8.666666666666668
sognare casa allagata acqua pulita,ita,MOBILE,0,15,0,1
sognare casa allagata di acqua pulita,ita,MOBILE,0,11,0,3.5454545454545454
sognare casa allagata significato,ita,DESKTOP,0,3,0,8.333333333333332
sognare casa allagata significato,ita,TABLET,0,1,0,8
sognare casa allagata smorfia,ita,MOBILE,0,3,0,11.333333333333334
sognare casa che cade a pezzi,ita,MOBILE,0,1,0,3
sognare casa che si allaga,ita,DESKTOP,0,2,0,9
sognare casa che si allaga,ita,MOBILE,0,45,0,7.488888888888889
sognare casa con tante stanze,ita,MOBILE,0,1,0,2
sognare casa dei nonni defunti,ita,MOBILE,0,1,0,3
sognare casa diroccata,ita,MOBILE,0,5,0,4.6
sognare casa grande,ita,DESKTOP,0,3,0,16
sognare casa grande con tante stanze,ita,MOBILE,0,2,0,2.5
sognare casa in disordine e sporca,ita,MOBILE,0,1,0,3
sognare casa infestata,ita,MOBILE,0,1,0,2
sognare casa ristrutturata,ita,DESKTOP,0,1,0,24
sognare casa sporca,ita,DESKTOP,0,3,0,19
sognare casa vecchia,ita,DESKTOP,0,4,0,6.75
sognare casa vecchia dove abitavo prima,ita,MOBILE,0,1,0,11
sognare casa vecchia e sporca,ita,MOBILE,0,1,0,11
sognare case,ita,DESKTOP,0,2,0,3.5
sognare case,ita,MOBILE,0,36,0,6.444444444444445
sognare case diroccate,ita,MOBILE,0,7,0,5.428571428571429
sognare case grandi,ita,DESKTOP,0,1,0,14
sognare case grandi,ita,MOBILE,0,1,0,2
sognare case significato,ita,MOBILE,0,1,0,9
sognare case vecchie,ita,DESKTOP,0,2,0,6
sognare case vecchie,ita,MOBILE,0,23,0,5.782608695652174
sognare che la casa si allaga,ita,MOBILE,0,13,0,6.846153846153846
sognare che si allaga casa,ita,DESKTOP,0,1,0,1
sognare che si allaga casa,ita,MOBILE,0,12,0,8.333333333333332
sognare che si allaga la casa,ita,DESKTOP,0,2,0,7.5
sognare che si allaga la casa,ita,MOBILE,0,67,0,6.8059701492537314
sognare che si allaga la casa,ita,TABLET,0,1,0,1
sognare che si allaga la casa significato,che,MOBILE,0,2,0,8
sognare che si allaga la casa significato,ita,MOBILE,0,36,0,6.888888888888889
sognare di acquistare una casa,ita,MOBILE,0,1,0,2
sognare di allagare casa,ita,MOBILE,0,20,0,8.05
sognare di avere la casa allagata,ita,DESKTOP,0,1,0,8
sognare di avere la casa allagata,ita,MOBILE,0,12,0,7
sognare di cambiare casa cosa significa,ita,DESKTOP,0,1,0,2
sognare di cambiare casa cosa significa,ita,MOBILE,0,2,0,2.5
sognare di cambiare casa psicologia,ita,MOBILE,0,1,0,2
sognare di comprare casa,ita,MOBILE,0,2,0,2.5
sognare di comprare una casa nuova,gbr,MOBILE,0,1,0,3
sognare di comprare una casa vecchia,ita,MOBILE,0,11,0,9.090909090909092
sognare di entrare in una casa altrui smorfia,ita,MOBILE,0,1,0,1
sognare di entrare in una casa sconosciuta,ita,DESKTOP,0,1,0,6
sognare di entrare in una casa sconosciuta,ita,MOBILE,0,15,0,5.933333333333334
sognare di esplorare una casa,ita,DESKTOP,0,1,0,8
sognare di esplorare una casa,ita,MOBILE,0,9,0,7.111111111111111
sognare di essere in una casa sconosciuta,ita,MOBILE,0,1,0,7
sognare di pulire casa altrui,ita,MOBILE,0,2,0,3
sognare di riordinare casa,ita,MOBILE,0,1,0,3
sognare di vivere in un'altra casa,ita,MOBILE,0,1,0,3
sognare festa con sconosciuti,ita,MOBILE,0,1,0,3
sognare la casa,ita,DESKTOP,0,4,0,6
sognare la casa,ita,MOBILE,0,35,0,6
sognare la casa allagata,ita,DESKTOP,0,5,0,7.6
sognare la casa allagata,ita,MOBILE,0,64,0,7.421875
sognare la casa allagata,ita,TABLET,0,1,0,1
sognare la casa allagata significato,ita,MOBILE,0,38,0,6.605263157894737
sognare la casa dell'infanzia,ita,DESKTOP,0,4,0,4.75
sognare la casa dell'infanzia,ita,MOBILE,0,20,0,6.6
sognare la casa dove abitavo prima,ita,DESKTOP,0,2,0,18.5
sognare la casa dove abitavo prima,ita,MOBILE,0,1,0,2
sognare la casa sporca,ita,DESKTOP,0,2,0,20
sognare la vecchia casa,ita,DESKTOP,0,9,0,7.444444444444445
sognare la vecchia casa,ita,MOBILE,0,38,0,6.2631578947368425
sognare la vecchia casa di famiglia,ita,MOBILE,0,25,0,6.96
sognare la vecchia casa di famiglia numeri lotto,ita,DESKTOP,0,1,0,11
sognare la vecchia casa di famiglia numeri lotto,ita,MOBILE,0,1,0,11
sognare mobili antichi,ita,MOBILE,0,1,0,3
sognare pavimento rotto,ita,MOBILE,0,1,0,1
sognare ragnatele in casa,ita,MOBILE,0,1,0,2
sognare residence,ita,MOBILE,0,1,0,11
sognare residenziale,bra,DESKTOP,0,1,0,55
sognare sempre la stessa casa sconosciuta,ita,DESKTOP,0,1,0,10
sognare sempre la stessa casa sconosciuta,ita,MOBILE,0,23,0,6.739130434782608
sognare sempre la stessa casa sconosciuta,ita,TABLET,0,2,0,3.5
sognare stanza allagata,ita,DESKTOP,0,1,0,1
sognare stanza allagata,ita,MOBILE,0,18,0,4.444444444444445
sognare tanti animali insieme,ita,MOBILE,0,1,0,3
sognare un allagamento in casa,ita,MOBILE,0,1,0,1
sognare una bella casa,ita,DESKTOP,0,1,0,11
sognare una bella casa,ita,MOBILE,0,3,0,8.333333333333332
sognare una casa,ita,DESKTOP,0,12,0,6.333333333333333
sognare una casa,ita,MOBILE,0,69,0,6.333333333333333
sognare una casa abbandonata,ita,DESKTOP,0,6,0,12
sognare una casa abbandonata,ita,MOBILE,0,11,0,8.454545454545453
sognare una casa allagata,ita,DESKTOP,0,1,0,9
sognare una casa con tante stanze,ita,MOBILE,0,5,0,12.6
sognare una casa da ristrutturare,ita,MOBILE,0,1,0,2
sognare una casa grande,ita,DESKTOP,0,4,0,15
sognare una casa grande,ita,MOBILE,0,1,0,2
sognare una casa grande con tanta gente,ita,MOBILE,0,1,0,10
sognare una casa grande e bella,ita,DESKTOP,0,2,0,16.5
sognare una casa grande e bella,ita,MOBILE,0,1,0,2
sognare una casa grande e vecchia,ita,DESKTOP,0,3,0,9.333333333333334
sognare una casa grande e vecchia,ita,MOBILE,0,51,0,9.176470588235293
sognare una casa in disordine,ita,MOBILE,0,1,0,3
sognare una casa nuova,ita,MOBILE,0,2,0,9
sognare una casa sconosciuta,ita,DESKTOP,0,5,0,4.4
sognare una casa sconosciuta,ita,TABLET,0,3,0,2.666666666666667
sognare una casa sconosciuta grande,ita,MOBILE,0,24,0,2.291666666666667
sognare una casa sconosciuta smorfia,ita,DESKTOP,0,1,0,8
sognare una casa sconosciuta smorfia,ita,MOBILE,0,15,0,9.266666666666667
sognare una casa sconosciuta smorfia,ita,TABLET,0,1,0,7
sognare una casa sporca,ita,DESKTOP,0,2,0,15
sognare una casa vecchia,ita,DESKTOP,0,1,0,8
sognare una casa vecchia,ita,MOBILE,0,34,0,8.794117647058822
sognare una casa vecchia da ristrutturare,ita,DESKTOP,0,1,0,19
sognare una casa vecchia da ristrutturare,ita,MOBILE,0,2,0,9.5
sognare una grande casa,ita,DESKTOP,0,2,0,12.5
sognare una nuova casa,ita,MOBILE,0,1,0,17
sognare una stanza allagata,ita,MOBILE,0,19,0,5.7894736842105265
sognare una villa,bol,DESKTOP,0,1,0,29
sognare una villa,ita,MOBILE,0,1,0,1
sognare vecchia casa,ita,DESKTOP,0,2,0,8
sognare vecchia casa,ita,MOBILE,0,6,0,6
sogno acqua in casa,ita,MOBILE,0,2,0,3
sogno casa allagata,ita,DESKTOP,0,3,0,6.333333333333333
sogno casa allagata,ita,MOBILE,0,6,0,6.833333333333333
sogno casa allagata significato,ita,MOBILE,0,10,0,7.4
