query,country,device,clicks,impressions,ctr,position
sognare stanza allagata,ita,MOBILE,0,7,0,8
sognare stanza allagata,mar,DESKTOP,0,1,0,1
sognare una bella casa,ita,DESKTOP,0,1,0,18
sognare una casa,ita,DESKTOP,0,8,0,7.25
sognare una casa,ita,TABLET,0,1,0,6
sognare una casa abbandonata,ita,DESKTOP,0,6,0,9.833333333333334
sognare una casa allagata,ita,DESKTOP,0,1,0,10
sognare una casa allagata,ita,MOBILE,0,2,0,7.5
sognare una casa con tante stanze,ita,DESKTOP,0,2,0,21.5
sognare una casa con tante stanze,ita,MOBILE,0,9,0,11.88888888888889
sognare una casa grande,ita,DESKTOP,0,1,0,26
sognare una casa grande,ita,MOBILE,0,1,0,3
sognare una casa grande con tante stanze,ita,MOBILE,0,6,0,11.166666666666666
sognare una casa grande da ristrutturare,ita,MOBILE,0,1,0,8
sognare una casa grande e bella,ita,DESKTOP,0,3,0,22
sognare una casa grande e bella,ita,MOBILE,0,2,0,2.5
sognare una casa grande e vecchia,ita,DESKTOP,0,3,0,9
sognare una casa grande e vecchia,ita,MOBILE,0,46,0,9.021739130434783
sognare una casa nuova grande,ita,DESKTOP,0,1,0,27
sognare una casa nuova grande,ita,MOBILE,0,2,0,2.5
sognare una casa sconosciuta,ita,DESKTOP,0,8,0,6.375
sognare una casa sconosciuta,ita,MOBILE,0,212,0,5.735849056603773
sognare una casa sconosciuta,ita,TABLET,0,4,0,4.75
sognare una casa sconosciuta smorfia,ita,MOBILE,0,11,0,7.7272727272727275
sognare una casa sconosciuta smorfia,ita,TABLET,0,1,0,10
sognare una casa sporca,ita,DESKTOP,0,2,0,22.5
sognare una casa vecchia,ita,DESKTOP,0,8,0,8.125
sognare una casa vecchia,ita,MOBILE,0,23,0,10.434782608695652
sognare una casa vecchia da ristrutturare,ita,DESKTOP,0,2,0,10.5
sognare una stanza allagata,ita,MOBILE,0,15,0,7
sognare vecchia casa,ita,DESKTOP,0,5,0,8.4
sognare vecchia casa,ita,MOBILE,0,9,0,5.888888888888889
sogno casa allagata,ita,MOBILE,0,5,0,7.4
sogno casa allagata significato,ita,MOBILE,0,2,0,7
