chemin,octets,sha256
gsc/casa-after-date.csv,1402,d58e981c87521a255e719c9f023fa6f3ff3984a7dca9210ce776f24cea5679d2
gsc/casa-after-date.json,11056,a05867ceeb8be39708af0767fd5bc2721a54f1d09945d01b746055b70f9fc48a
gsc/casa-after-query-country-device.csv,9059,aa46b09576ce753c299bfee693289fca0a55c5c1a53cef57a314b262486c02c4
gsc/casa-after-query-country-device.json,74120,a160284b6d8c6b4ce121804080cd61cb146a30df1b6dba510e20f4933361b05f
gsc/casa-after-query.csv,4797,f620804ec360ad2aba3ca427a5e02bbc21cba643b0bc20a01cdd55b87921f3e1
gsc/casa-after-query.json,39217,82d3857b27c282f7688839c1b55c3de29be04fceda8e024364a913ec2bc658d3
gsc/casa-after-summary.csv,79,bb538899dc758515cb3cb9b42e7bb6144f2ee6fa5025e4493f8112f068c2630e
gsc/casa-after-summary.json,922,e6a2cd4d099492f41726830f3e826966227f589b00231b0a831ec8499bcdce8e
gsc/casa-before-country-device.csv,462,3623d6912295f33627ae6fe2a7e691e79f8b08a79dea3a8a3ecb31d4eecccf79
gsc/casa-before-country-device.json,6603,cfa991dce96f5c422c4cd1725995c5493d9ae1081d0f615ce7c979323cb3eab3
gsc/casa-before-date.csv,1447,6695cb71e9a15b7f2b9d5b24e34e5190460aba7ad6e2d77bfab3c0c27fd31b23
gsc/casa-before-date.json,11146,68076b8ba6bef3fa612ae43187c1df20b52acb75b6c80d40078d09f13cb4461f
gsc/casa-before-query-country-device.csv,8183,e426d7d66fa7a2b0b2d308346b28aabe9b4b3b9aeb01bec8009b3bf48c94074e
gsc/casa-before-query-country-device.json,66826,114eccbcd85c421fbead0e23b8f668bbfd1520df3bca5d6e18be8526dc9bb1c0
gsc/casa-before-query.csv,4403,9376084230e35b7a687b33d6099c6c769dc47d29761a38bddf001dae8bd0c6ce
gsc/casa-before-query.json,35141,9f84388d143df8c569e9a60fb703f3c00000b715e250cc893755153e1a801947
gsc/casa-before-summary.csv,79,a9c6c4c3f9c3ce08fcb2e3a1f64c4ef8dddc34dfabe7621e110f6fe293d47ea7
gsc/casa-before-summary.json,922,469bc73590445b3e8ad4067de931a9b9da151418302006d2a2822f2ddb3cfd42
gsc/casa-clusters.csv,471,ade9e627c8670cf0aa570d4605ac9fbe74e01683115644e9189c4051c3e15b69
gsc/casa-cohort-summary.json,4501,8f65f2bafd19c2a848b15c80b6315b61a56d17201608048621583cdc5cb97776
gsc/casa-cohorts-country-device.csv,1299,32d614ba29098e81d185f3b9d02283c0c35239ea04718255d1a64a835352024a
gsc/casa-cohorts-query-country-device.csv,16180,1551921f47393cba038a04322672dc790e4b947f7f7f70b2fb033414ffd25258
gsc/casa-cohorts-query.csv,8643,714e0ce4fcefbf52351432aa9c6bf123a6bbd0d46a5f616c2fb86217ef50cb1e
gsc/daily-all.csv,935,7fac459dd1035753ce9a6fcc54c6cd180c026c7df510569aeae9bdd59fde4d18
gsc/daily-all.json,6366,4303b450259ed405d9761d10f1f29f48b6eca4f1296c3ff87e1919e3ab339cd1
gsc/daily-final.csv,815,7c40d22a8af2da045cf0ff4e318b1f4425a524cc9049362d5606ea6dc0a6239c
gsc/daily-final.json,5507,71e028713eaf0ed949673ee8659dcce768c432f1255796ad2587d303cc032962
gsc/experiments.json,1337,5ddbfe2782e8e9f3bc220c0975ec5137416a9fef0cc925d13032a461083b2d0d
gsc/false-awakening-en-after-daily.csv,132,b2647a6fb485a2dd55b87ca4b59cee9d3da27b0d67300b10df43a90c8cbab4a1
gsc/false-awakening-en-after-daily.json,2229,2b1affc46515dac3187eb81c5299dc5011b1e2800b1cbb0a76c073327c9d2fef
gsc/false-awakening-en-after-queries.csv,38,25254b8a24b24ceb9b3638dd903f2c07ca6f15a27282646f45f78fc291a9f942
gsc/false-awakening-en-after-queries.json,644,0ebd3ab9607e39acbb016c65f58392b26374965ac918a028632580ea4ed838a8
gsc/false-awakening-en-after.csv,40,9d120702ff756bbe13010f6e448457a088d3cab570cbbd5dd6c864a0eaa8ee34
gsc/false-awakening-en-after.json,859,b9dd5a570384b64ac4b4d90391f87bb0ceb69bfcaca464b3f8661200d65c8bf8
gsc/false-awakening-en-before-daily.csv,132,9985c75924e8d036580e8348907b36f1f925204ec3e31b9a40116ee6e855649c
gsc/false-awakening-en-before-daily.json,2229,c810a34bb35e6214a5979251287d0996c87976ed6dc58b35575c656ab6ab85e2
gsc/false-awakening-en-before-queries.csv,38,25254b8a24b24ceb9b3638dd903f2c07ca6f15a27282646f45f78fc291a9f942
gsc/false-awakening-en-before-queries.json,644,8647a88f99cd868b9dc880d9b58b60bebd9ebb6e41ed8a33ab8989dbb601fbf8
gsc/false-awakening-en-before.csv,40,9d120702ff756bbe13010f6e448457a088d3cab570cbbd5dd6c864a0eaa8ee34
gsc/false-awakening-en-before.json,859,26ddf17cc38ea75a31ca577fb81722aed54ebd94eca889c2235b48168c8d8252
gsc/freshness.json,165,052822120313436d114f6d98fadfc74754f8da096a4b9684b3070f4fb7fb0967
gsc/live-url-check.json,1528,d6f99da609a620c58c2331a26a6372874c7f62cd9f06217a8b24a45af8a545c2
gsc/pidocchi-after-daily.csv,210,2aaf5d486300f277db3eb6393a9d06d2f96de90b6cd85deae0f799051a67833f
gsc/pidocchi-after-daily.json,2100,c511db8e69dc6dfd72579da79f58f5e5eb5e638657c9861f40bc94d0fefba8bc
gsc/pidocchi-after-queries.csv,1769,023028478a2d9057cf584a302450c7cf3bb05b35d9efa1cc0d096abd221083ca
gsc/pidocchi-after-queries.json,14533,b627039d4b9080d912fdeea5d81ce19c3995ab4c9282d029bd80c8873793a48f
gsc/pidocchi-after.csv,77,3826a5af19eb46e1d58368cc144fd042f7192e9c9a6ac3d018fe5f962e6e0d42
gsc/pidocchi-after.json,922,b667e13001ef711c13c9814bafc0b1c117c0514e29c6a30e9b2c2f88a1d0bcdb
gsc/pidocchi-before-daily.csv,194,3ce0139f21c6e85a632bb064a53299448e04fbd69e7d63ec32fd78bb05910bda
gsc/pidocchi-before-daily.json,2068,806623f036b922df75a5697077d5394d2f81cb11d06b2fd3dff2653e1ad80f5b
gsc/pidocchi-before-queries.csv,1823,ae663992873781a62f6643141d22c5703bfe3f2e8533125edfcc15a2c9e1449a
gsc/pidocchi-before-queries.json,15189,c1b77070f2d57a91d0cfc9b3b61e2f9a1f0187f3b67cc20c1e4dbf3483753ad2
gsc/pidocchi-before.csv,78,b7df012d212cbd7a4b502769e430511cd1578b9a0d343c1dd987d174fa1e1eaf
gsc/pidocchi-before.json,924,7645f01551490a8567043ce5aede91cacaa95cd545e5b12dc4609c89bcc40e91
gsc/publication-git-evidence.json,980,f99c050433e2f34440ba03e2219bc7f3b8c2d6ea54bb4f8c3997300784534150
gsc/refresh.cjs,5014,c601ceaf6b3fcb75071af38e439cf6e92bd91a29177a8aa3f967c26dcace0194
gsc/report.md,11529,56698ca513e652a3b059478aaf1112f81878be77c01165a902592378dff842e7
gsc/site-current-28d.csv,83,db169d53eeb01751235e627f3c4b863a364f43f86562614ed3005e2e33a127f3
gsc/site-current-28d.json,665,1811d3077460f8788a5ab1cfd53718c9f948bb9bc627d3de9faabb119c74d6e3
gsc/site-previous-28d.csv,83,ebca510341b50f1bb577c5e0532d86b9a6c453a2cddf5cf7c57642d963b81ab9
gsc/site-previous-28d.json,665,6c84c9d46f1e71cf6122a847ffc5d26f006fb9148f28554b275a420da4c2d814
gsc/work-en-after-daily.csv,209,261e8c50036f00e0b362b0487385240977c7c2a0c29b4bb3fdfc7b4ff99a920e
gsc/work-en-after-daily.json,2379,ec3da1aef740834f29229a38ea4b96bd8d5d689420db536a7b82d82c9c167f91
gsc/work-en-after-queries.csv,829,16ce140b9a8669833337833656a782c5cc9d98368d634c5edb23a2312e6099c1
gsc/work-en-after-queries.json,8276,185556fc899140dc47fd592d72442ecc0a4329331d121749ec31730e8cf127fc
gsc/work-en-after.csv,59,6d2ef8cbe1eca2a4fe8746cbbcdcc23ab71d04503086307abf942eed4243f022
gsc/work-en-after.json,893,350650f0bd896bae491e098f677590991dd7772a3e3a96c051a63ecd187c0606
gsc/work-en-before-daily.csv,207,af2d8cbe2fc12d8aa98bdcfd877571ed221873089d45372bfeef0eda6063acd9
gsc/work-en-before-daily.json,2375,52537c430f403ad735f728785c5359ac42e9c46dae51f12e043d2531ba07b691
gsc/work-en-before-queries.csv,947,3d6a6a04840adcfb3dcefb82a0bdd8825ba395677e3f6fa5d7c9c7c4cf6684b9
gsc/work-en-before-queries.json,9334,2e3cc2722722f62475f2bfbfb530358526f684c9a40e72558a108aa4b6692f20
gsc/work-en-before.csv,59,d160d030825f4af1ccdd967c734e46fde8a1894fdab3b600e70c274c6b58d775
gsc/work-en-before.json,893,9bd2de9adc6cd52466fa8d78160c63b9804b2547cb37aaabc01874fc505c4e9a
history-en.md,11249,80205ef36b051ba7d1f9cafca09a8e8ddfabab178e2df2ef995228acdb177a21
hospital/build.log,33226,3e9918c73fcc4d6b4e900273a5b4a09efc001ad3321b8e3a5c9f7c3f7f563dee
hospital/check-final.log,3243,40c25f6f764dd75f0a88076ff9bddc2511571505c3b05d4096705cd909b70995
hospital/check.log,3243,40c25f6f764dd75f0a88076ff9bddc2511571505c3b05d4096705cd909b70995
hospital/hospital-es.patch,693,04fca2fb8b4ec10dedd77550cd9cfcd53cdc96fbd63461d676a9031bc9ea93c6
hospital/independent-review.md,1179,dc536006f3eca2dc699a994e080044511c68ed585200ebbe29f0fd16c3cd7e14
hospital/report.md,2108,4d1defbaeb9282a96b7c18cefb20be01b361da0f56056eb881d9123eae5e67a7
hospital/source-diff.json,345,a291ffb7009423722de3e3b7da6b1c34a3cf1e733587f368a750cc1d252349a9
hospital/verification.json,683,d8e7a05599814806f87eb87008feb22f528b7547b04c5fd165abd3c004b17f3c
rentree/baseline-2026-09-07.json,9826,e78459164ca42374a1b50b8f437f826fe31c385d5b251caad253041dbecc39d5
rentree/cloudflare-evidence.json,103394,e07f0e146e1d60048b149575a3e7b7c7837ecca2bb72eddec4f0befb3cc7be1e
rentree/inspect.cjs,2046,082df7fdb4ca567beedef872f80144112304aefcf83761a21a6f0c9c720bb8ce
rentree/inspections-http.json,9397,47b6571409f61acf56883769f1cbda1aac2b7a1f5a1d6d398fd5eeeedf5dd311
rentree/report.md,7074,6443dc5eba54ca37e058b35c6e563cba0b2c5690a8658b55ceb0076be61c1529
