keyword,country_code,language,tags,observed_url_2026-07-19,annotation
"dream journal app","US","en","lang-en, priority-p1, target-en-apps, cluster-app, geo-us","","No ranked URL in the 2026-07-19 mobile snapshot"
"history of dream analysis","US","en","lang-en, priority-p2, target-en-history, cluster-history, geo-us","https://noctalia.app/en/blog/dream-interpretation-history",""
"journal de rêves","FR","fr","lang-fr, priority-p2, target-fr-journal-guide, cluster-journal, geo-fr","","No ranked URL in the 2026-07-19 mobile snapshot"
"rever de vol","FR","fr","lang-fr, priority-p2, target-fr-flying-blog, cluster-flying, geo-fr","","No ranked URL in the 2026-07-19 mobile snapshot"
"rêve examen pas prêt","FR","fr","lang-fr, priority-p2, target-fr-exam-blog, cluster-exam, geo-fr","","No ranked URL in the 2026-07-19 mobile snapshot"
"sognare acqua","IT","it","lang-it, priority-p1, target-it-water-guide, cluster-water, geo-it","","No ranked URL in the 2026-07-19 mobile snapshot"
"sognare di non riuscire a chiudere la porta di casa","IT","it","lang-it, priority-p3, target-it-door, cluster-door, geo-it","https://noctalia.app/it/simboli/porta",""
"traumdeutung auto nicht finden","DE","de","lang-de, priority-p2, target-de-car, cluster-car, geo-de","","No ranked URL in the 2026-07-19 mobile snapshot"
"traumdeutung lexikon a-z","DE","de","lang-de, priority-p1, target-de-dictionary, cluster-dictionary, geo-de","","No ranked URL in the 2026-07-19 mobile snapshot"
"traumlexikon","DE","de","lang-de, priority-p3, target-de-dictionary, cluster-dictionary, geo-de","","No ranked URL in the 2026-07-19 mobile snapshot"
